nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
"PL ZINC  5V 0,30 ZA 3000 AZ80",,,9980.0,9980.0,PL,PL,,0,,,,,
"PL  ZINC  5V 0,30 ZA 3500 AZ80",,,12000.0,12000.0,PL,PL,,0,,,,,
"PL  ZINC 5V 0,35 ZA 3500 AZ80",,,13500.0,13500.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,30 ZA 2000 AZ80",,,6980.0,6980.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,30 ZA 2500 AZ80",,,8750.0,8750.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,30 ZA 3000 AZ80",,,10200.0,10200.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,30 ZA 3660 AZ80",,,12800.0,12800.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,35 ZA 2000 AZ80",,,7000.0,7000.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,35 ZA 2500 AZ80",,,10700.0,10700.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,35 ZA 3000 AZ80",,,11500.0,11500.0,Unidad,Unidad,,0,,,,,
"PL ZINC  AC  0,35 ZA 3660 AZ80",,,13500.0,13500.0,Unidad,Unidad,,0,,,,,
"PL ZINC LISO  2000.  0,35",,,7980.0,7980.0,Unidad,Unidad,,0,,,,,
"PL ZINC LISO  2500 . 0,35",,,10200.0,10200.0,Unidad,Unidad,,0,,,,,
"PL ZINC LISO  3000 .  0,35",,,17500.0,17500.0,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
,,,,,Unidad,Unidad,,0,,,,,
