nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
"PERNO HEXAGONAL G2 UNC NG 1/4 X 1"" (100)",0010012C_016064,CHM-0010012C_016064,PEND-0010012C_016064,63.754,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 1/4 X 5""",0010012C_016319,CHM-0010012C_016319,PEND-0010012C_016319,285.136,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 5/16 X 1"" (100)",0010012C_020064,CHM-0010012C_020064,PEND-0010012C_020064,93.2716,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 5/16 X 1.1/2""",0010012C_020096,CHM-0010012C_020096,PEND-0010012C_020096,153.51160000000002,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 5/16 X 6""",0010012C_020383,CHM-0010012C_020383,PEND-0010012C_020383,485.3336,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 1""",0010012C_024064,CHM-0010012C_024064,PEND-0010012C_024064,159.636,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 1.1/2"" (100)",0010012C_024096,CHM-0010012C_024096,PEND-0010012C_024096,171.182,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 2.1/2""",0010012C_024160,CHM-0010012C_024160,PEND-0010012C_024160,264.4536,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 3"" (100)",0010012C_024192,CHM-0010012C_024192,PEND-0010012C_024192,388.3472,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
"PERNO HEXAGONAL G2 UNC NG 1/2 X 1""",0010012C_032063,CHM-0010012C_032063,PEND-0010012C_032063,242.3656,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,
