nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
MANGUERA ORION 1/2' VERDE - ROLLO 150 M,175308,60350.44,81473.09,72420.53,unidad,unidad,1.0,100,General,Otros,,,,
MANGUERA ORION 3/4' VERDE - ROLLO 75 M,175312,61946.80,83628.18,74336.16,unidad,unidad,1.0,100,General,Otros,,,,
TIERRA DE COLOR AZUL PRIMERA 1 KILO (25 UNIDADES),178-1,1716.84,2317.73,2060.21,kilo,kilo,1.0,100,General,Otros,,,,
"RECT.40X20X2.0X6000 MM ( 10,08 KG)",1781-06000,18216.58,24592.38,21859.89,tira,tira,1.0,100,General,Otros,,,,
SACO PAPERO BLANCO 60X90,18.42,218.87,295.48,262.65,unidad,unidad,1.0,100,General,Otros,,,,
SACO PAPERO 47 X 71 ROJO PARA 25 KILOS,18.45,128.51,173.49,154.21,unidad,unidad,1.0,100,General,Otros,,,,
SACO ESCOMBRO BLANCO 50X80 CM,18.F1,171.68,231.77,206.02,unidad,unidad,1.0,100,General,Otros,,,,
LIJA METAL #80 IMPORTADA,180104,331.32,447.28,397.58,unidad,unidad,1.0,100,General,Otros,,,,
PLATO DUCHA 70X70.,180700900-T,21399.26,28889.00,25679.11,unid.,unid.,1.0,100,General,Otros,,,,
PLATO DUCHA 80X80.,180800900-T,23080.96,31159.29,27697.15,unid.,unid.,1.0,100,General,Otros,,,,
TINA 100X70X36. ECO C/ANTIDESLIZANTE,181001200-T,51506.20,69533.38,61807.44,unid.,unid.,1.0,100,General,Otros,,,,
BETONERA BAUMAX 130L,1811000390130,169515.36,228845.74,203418.43,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
TINA 120X70X36. ECO C/ANTIDESLIZANTE,181201200-T,56096.49,75730.26,67315.79,unid.,unid.,1.0,100,General,Otros,,,,
TINA 170X70X36 C/ANTIDESLIZANTE,181701400-T,72489.80,97861.24,86987.76,unid.,unid.,1.0,100,General,Otros,,,,
"RECT.50X30X2.0X6000 MM ( 13,86 KG)",1818-06000,25047.79,33814.52,30057.35,tira,tira,1.0,100,General,Otros,,,,
CAJA MILAN 10 LTS,183-350,1939.66,2618.54,2327.59,unidad,unidad,1.0,100,General,Otros,,,,
CONTENEDOR 10 LTS MULTITAPAS T/VAIVEN,183-366,2301.61,3107.17,2761.93,unidad,unidad,1.0,100,General,Otros,,,,
PAPELERO VAIVEN 7 LTS PARED C/TAPA,183-404,1243.61,1678.88,1492.34,unidad,unidad,1.0,100,General,Otros,,,,
