nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
Terciado Ranurado 9 mm 122x244 cm,SOD-110287405,CHM-SOD-110287405,PEND-SOD-110287405,18590,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Terciado Estructural Pino 18 mm 122x244 cm,SOD-110299679,CHM-SOD-110299679,PEND-SOD-110299679,22690,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
OSB Estructural 9.5 mm 122x244 cm,SOD-110328263,CHM-SOD-110328263,PEND-SOD-110328263,10880,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
OSB Multieco cierre perimetral 9 mm 122x244 cm,SOD-120974965,CHM-SOD-120974965,PEND-SOD-120974965,9790,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Terciado Estructural Pino 15 mm 122x244 cm,SOD-110278663,CHM-SOD-110278663,PEND-SOD-110278663,20890,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Dimensionado Verde 2x3 3,2 m",SOD-110310625,CHM-SOD-110310625,PEND-SOD-110310625,2680,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
OSB Estructural 11 mm 122x244 cm,SOD-110319000,CHM-SOD-110319000,PEND-SOD-110319000,14940,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Dimensionado Verde 2x2 3,2 m",SOD-110315134,CHM-SOD-110315134,PEND-SOD-110315134,1750,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Certificado Seco Cepillado 1x4 3,2 m",SOD-110285532,CHM-SOD-110285532,PEND-SOD-110285532,2580,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Terciado Mueblería Natural 18 mm 120x240 cm,SOD-110702130,CHM-SOD-110702130,PEND-SOD-110702130,43390,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
MDF Blanco 3 mm 183x250 cm,SOD-110413144,CHM-SOD-110413144,PEND-SOD-110413144,14990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Dimensionado Verde 1x8 3,2 m",SOD-110331622,CHM-SOD-110331622,PEND-SOD-110331622,4744,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Tinglado Seco Cepillado 3/4x5 3,2 m",SOD-110315729,CHM-SOD-110315729,PEND-SOD-110315729,3090,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Certificado Seco Cepillado 2x5 3,2 m",SOD-110288271,CHM-SOD-110288271,PEND-SOD-110288271,9090,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
MDF Ranurado Melamínico Blanco 18 mm 152x244 cm,SOD-110291088,CHM-SOD-110291088,PEND-SOD-110291088,49990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Piso Machihembrado Seco Cepillado 1x5 3,2 m",SOD-110289987,CHM-SOD-110289987,PEND-SOD-110289987,5290,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Dimensionado Seco 1x2 3,2 m",SOD-110319242,CHM-SOD-110319242,PEND-SOD-110319242,1450,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
MDF Ranurado Pintado Maple 5.5 mm 122x244 cm,SOD-110316565,CHM-SOD-110316565,PEND-SOD-110316565,18990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
MDF Desnudo Natural 9 mm 152x244 cm,SOD-110327348,CHM-SOD-110327348,PEND-SOD-110327348,18690,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Blanco 18 mm 183x250 cm,SOD-110326923,CHM-SOD-110326923,PEND-SOD-110326923,48990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Dimensionado Seco 2x4 3,2 m",SOD-110322356,CHM-SOD-110322356,PEND-SOD-110322356,5086,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Terciado Mueblería Natural 15 mm 120x240 cm,SOD-110299536,CHM-SOD-110299536,PEND-SOD-110299536,37290,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Cuartón Dimensionado Verde 3x3 3,2 m",SOD-110297746,CHM-SOD-110297746,PEND-SOD-110297746,3534,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
